('32807846', '65741787'): 0.53
('32807846', '84749824'): 0.53
('32807846', '90846359'): 0.52
('32807846', '41373230'): 0.52
('32807846', '97940434'): 0.52
('32807846', '99330325'): 0.52
('32807846', '87170768'): 0.52
('32807846', '42199039'): 0.52
('32807846', '70828912'): 0.52
('32807846', '2403771'): 0.52
('32807846', '52350806'): 0.52
('32807846', '85138716'): 0.52
('32807846', '99111753'): 0.52
('32807846', '74117290'): 0.52
('32807846', '68468459'): 0.52
('32807846', '9091064'): 0.52
('32807846', '5041348'): 0.52
('32807846', '19353570'): 0.52
('32807846', '95953557'): 0.52
('32807846', '67273917'): 0.52
('32807846', '20345391'): 0.52
('32807846', '95486586'): 0.52
('32807846', '34242278'): 0.51
('32807846', '19613556'): 0.51
('32807846', '63176202'): 0.51
('32807846', '7452945'): 0.51
('32807846', '29353756'): 0.51
('32807846', '1906812'): 0.51
('32807846', '45082499'): 0.51
('32807846', '9617996'): 0.51
('32807846', '72892473'): 0.51
('32807846', '45659520'): 0.51
('32807846', '22916281'): 0.51
('32807846', '46804536'): 0.51
('32807846', '18548966'): 0.51
('32807846', '90884403'): 0.51
('32807846', '59793705'): 0.51
('32807846', '76794549'): 0.51
('32807846', '70534340'): 0.51
('32807846', '78661338'): 0.51
('32807846', '45002991'): 0.51
('32807846', '10802915'): 0.51
('32807846', '30328508'): 0.51
('32807846', '14824019'): 0.51
('32807846', '26082117'): 0.50
('32807846', '23314220'): 0.50
('32807846', '95511642'): 0.50
('32807846', '68431965'): 0.50
('32807846', '58996430'): 0.50
('32807846', '13756293'): 0.50
('32807846', '10443957'): 0.50
('32807846', '98881931'): 0.50
('32807846', '55688914'): 0.50
('32807846', '58120309'): 0.50
('32807846', '45935145'): 0.50
('32807846', '80457744'): 0.50
('32807846', '581014'): 0.50
('32807846', '1828513'): 0.50
('32807846', '18739764'): 0.50
('32807846', '95515789'): 0.50
('32807846', '93662626'): 0.50
('32807846', '30459350'): 0.50
('32807846', '92422871'): 0.50
